Rank,City,,,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Honolulu,HI,United States,106.3,69.6,88.5,136.8,79,80.7
2,Washington,DC,United States,100.4,71.5,86.3,103,94.9,106.6
3,New York,NY,United States,100,100,100,100,100,100
4,Barrie,Canada,,99.7,29.3,65.5,104.7,78.3,92.8
5,Halifax,Canada,,99.3,39.1,70.1,122.1,76.2,95.4
6,Anchorage,AK,United States,99,44.6,72.5,106.4,85.1,165.8
7,Vancouver,Canada,,98.1,51.4,75.4,109.3,84.2,91.5
8,Calgary,Canada,,96.7,44.2,71.2,102.1,90.1,118.8
9,Regina,Canada,,94.1,32.7,64.3,108.2,79.7,94.6
10,San Francisco,CA,United States,93.7,95,94.3,109.2,87.2,103.9
11,St. John's,Newfoundland and Labrador,Canada,93.6,31.7,63.5,108.8,88.6,82.2
12,Brampton,Canada,,93.2,35.3,65.1,92.4,84.1,86.9
13,Roanoke,VA,United States,93.2,25.4,60.2,110.3,72,126.9
14,Boston,MA,United States,92.9,70.1,81.9,100.4,83.9,115.6
15,Edmonton,Canada,,92.7,39.2,66.7,94.4,82,102.1
16,Richmond,VA,United States,92,35.2,64.4,101.7,82,135.7
17,Seattle,WA,United States,91.6,55.1,73.9,100.4,81.7,115.3
18,Nanaimo,BC,Canada,91.1,30.6,61.7,90.9,84.1,38.2
19,Sacramento,CA,United States,91.1,35.8,64.2,101.3,71,128.2
20,Hartford,CT,United States,90.7,39.9,66,108,78.3,127.5
21,Philadelphia,PA,United States,90.1,49.7,70.5,104.5,76.2,122.6
22,Saskatoon,Canada,,90,29.8,60.8,95.5,72.3,87.1
23,Fredericton,Canada,,89.6,24.3,57.9,111.4,68.3,100.1
24,Quebec City,Canada,,89.4,23.4,57.4,98.9,77.1,105.2
25,Toronto,Canada,,89.2,50.9,70.6,91.3,76.6,101.7
26,Minneapolis,MN,United States,89.2,40.7,65.6,97.7,73.9,114.6
27,Saint Petersburg,FL,United States,88.7,37.8,64,100.5,64.7,84.6
28,Surrey,Canada,,88.6,31.6,60.9,102.1,72.2,77.5
