Team,City,State
"Seattle Seahawks',",Seattle,WA
"New England Patriots',",Boston,MA
"Denver Broncos',",Denver,CO
"Chicago Bears',",Chicago,IL
"San Francisco 49ers',",San Francisco,CA
"Green Bay Packers',",Green Bay,WI
"New Orleans Saints',",New Orleans,LA
"Dallas Cowboys',",Dallas,TX
"New York Giants',",New York,NY
"Philadelphia Eagles',",Philadelphia,PA
"Pittsburgh Steelers',",Pittsburgh,PA
"Houston Texans',",Houston,TX
"Baltimore Ravens',",Baltimore,MD
"San Diego Chargers',",San Diego,CA
"Arizona Cardinals',",Phoenix,AR
"Indianapolis Colts',",Indianapolis,IN
"Carolina Panthers',",Charlotte,NC
"Detroit Lions',",Detroit,MI
"Atlanta Falcons',",Atlanta,GA
"New York Jets',",New York,NY
"Miami Dolphins',",Miami,FL
"Jacksonville Jaguars',",JacksonVille,FL
"Tampa Bay Buccaneers',",Tampa Bay,FL
"Tennessee Titans',",Nashville,TN
"Cleveland Browns',",Cleveland,OH
"Cincinnati Bengals',",Cincinnati,OH
"Buffalo Bills',",Buffalo,NY
"Oakland Raiders',",Oakland,CA
"Washington Redskins',",Washington,DC
"Minnesota Vikings',",Minneapolis,MN
"Kansas City Chiefs',",Kansas City,MO
St Louis Rams',St Louis,MO
